id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12051,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19856365.0,19856365.0,False,,1,,,,2025-04-26T08:55:00.000Z,94339.41615737106,35234378981.00147,9.8893,-0.38287456,0.66275253,10.56510766,7.9244532,5.39355155,-10.15820475,1873237881107.6567,63.1951,1981127739304.79,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
1027,Ethereum,ETH,ethereum,10150,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120720245.63563792,120720245.63563792,True,,2,,,,2025-04-26T08:55:00.000Z,1807.6028469255093,15544880883.344158,8.6941,0.15510655,1.77329476,12.81265116,-10.72592203,-24.71692894,-45.72717345,218214259692.52597,7.3616,218214259692.53,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
825,Tether USDt,USDT,tether,125562,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,146014119939.26932,148529368954.33054,True,,3,,,,2025-04-26T08:54:00.000Z,1.0004451072919407,76893132270.83704,8.5178,0.00134256,0.01908579,0.06236885,0.02683327,0.06311745,0.05674211,146079111888.78058,4.9281,148595480459.52,,2025-04-26T08:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-26 11:56:12.336167
52,XRP,XRP,xrp,1594,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58394167593.0,99986232255.0,False,,4,,,,2025-04-26T08:55:00.000Z,2.209871108220407,3315521859.2754006,-15.0704,-0.98865814,0.65444322,5.93776507,-6.8422623,0.575407,-29.51312398,129043583852.35107,4.3534,220987110822.04,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
1839,BNB,BNB,bnb,2495,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890426.51,140890426.51,False,,5,,,,2025-04-26T08:55:00.000Z,601.9680650716019,1657598262.9895337,2.3786,-0.22963021,-1.34132757,1.46897393,-5.96257376,-0.8485329,-12.55978345,84811537433.33742,2.8612,84811537433.34,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
5426,Solana,SOL,solana,902,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,517435259.1015292,599321086.9247353,True,,6,,,,2025-04-26T08:55:00.000Z,150.86264332524703,3884735148.95048,0.7107,-0.62543245,-2.34390586,8.54840696,9.01797503,9.17110358,-41.20904559,78061650937.74078,2.6335,90415163374.03,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
3408,USDC,USDC,usd-coin,27395,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,62357545432.28488,62357545432.28488,False,,7,,,,2025-04-26T08:55:00.000Z,0.999896195145164,12046260018.268906,9.1045,-0.00767626,-0.00155016,-0.00442139,-0.00272133,0.00126401,-0.01324827,62351072416.33335,2.1035,62351072416.33,,2025-04-26T08:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-04-26 11:56:12.336167
74,Dogecoin,DOGE,dogecoin,1209,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149010506383.70523,149010506383.70523,True,,8,,,,2025-04-26T08:55:00.000Z,0.1843703144723211,1973789972.7487216,35.9649,-1.31921494,0.79276596,16.13171941,-5.99915868,-10.40592067,-47.85513766,27473113921.643555,0.9268,27473113921.64,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
2010,Cardano,ADA,cardano,1506,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35298485421.75108,44995012865.76329,False,,9,,,,2025-04-26T08:55:00.000Z,0.7242616896174071,958953105.730792,-10.3823,-0.69690805,0.44580146,14.81589706,-1.9154915,8.87306738,-27.01352672,25565340692.492847,0.8625,32591776032.78,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
1958,TRON,TRX,tron,1166,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94937993288.1454,94937968580.628,True,,10,,,,2025-04-26T08:55:00.000Z,0.245919278579576,548136936.0626668,-0.1556,-0.1927108,0.96589417,1.47400009,5.14378735,5.55742024,-2.4578871,23347082819.213345,0.7876,23347076743.16,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
